2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd.","Guinness Ltd."
"Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC","Guinness Nigeria PLC"
"Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group","Guinness Ghana Breweries Group"
"Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Desnoes & Geddes Limited","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd"
"Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","Guinness Anchor Berhad / Sungei Way Brewery","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)"
"Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Smithwick's Brewery / Irish Ale Breweries Ltd","Uganda Breweries Limited","Uganda Breweries Limited"
"East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","East African Breweries Ltd (Kenya Breweries)","Serengeti Breweries Ltd","Serengeti Breweries Ltd"
"Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Uganda Breweries Limited","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)"
"Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Serengeti Breweries Ltd","Serengeti Breweries Ltd","Serengeti Breweries Ltd","Serengeti Breweries Ltd","Serengeti Breweries Ltd",,
,,,,,,,,,,"Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)","Seychelles Breweries Limited (SBL)",,
