2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken","Pivovarni Heineken"
"Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery","Hainan Asia Pacific Brewery"
"Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery","Shanghai Brewery"
"Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)","Les Brasseries du Congo (Bracongo)"
"Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)","Bralima Brewery (Heineken)"
"Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken","Brasserie Heineken"
"ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company","ABC Brewing Company",
"Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery","Athenian Brewery"
"Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery","Brau Union Hungária Sörgyárak / Soprony Brewery"
"Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang","Bintang"
"Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA","Heineken Italia SpA"
