2000,2001,2002,2003
"Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Apatinska Pivara A.D."
"Brasserie Belle-Vue","Brasserie Belle-Vue","Brasserie Belle-Vue","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)"
"Bergenbier SA","Bergenbier SA","Bergenbier SA","Brasserie Belle-Vue"
"Borsodi Brewery","Borsodi Brewery","Borsodi Brewery","Bergenbier SA"
"Pivovoar Branik","Pivovoar Branik","Pivovoar Branik","Borsodi Brewery"
"Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Pivovoar Branik"
"Brasserie Piedboeuf","Brasserie Piedboeuf","Brasserie Piedboeuf","Brasserie de Luxembourg Mousel -Diekirch SA"
"Oranjeboom Bierbrouwerij B. V.","Brauerei Beck & Co.","Brauerei Beck & Co.","Brasserie Piedboeuf"
"Brouwerij van Hoegaarden","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Brauerei Beck & Co."
"Chernigivske Pivokombinat","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Brauerei Diebels GmbH & Co KG"
"Columbia Brewery","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Oranjeboom Bierbrouwerij B. V."
"Dommelsche Bierbrouwerij","Chernigivske Pivokombinat","Chernigivske Pivokombinat","Brouwerij van Hoegaarden"
"Abbaye de Leffe S.A.","Columbia Brewery","Columbia Brewery","Chernigivske Pivokombinat"
"Klinskiy Pivokombinat","Dommelsche Bierbrouwerij","Dommelsche Bierbrouwerij","Columbia Brewery"
"Labatt Brewing Company Ltd.","Abbaye de Leffe S.A.","Brauerei Gilde","Dommelsche Bierbrouwerij"
"Latrobe Brewing Co.","Klinskiy Pivokombinat","Hasseröder Brauerei GmbH","Brauerei Gilde"
"Alexander Keith's","Labatt Brewing Company Ltd.","Hofbrauhaus Wolters GmbH","Hasseröder Brauerei GmbH"
"Pivzavod AO Rosar","Latrobe Brewing Co.","Abbaye de Leffe S.A.","Hofbrauhaus Wolters GmbH"
"Oriental Brewery Co., Ltd","Alexander Keith's","Klinskiy Pivokombinat","Abbaye de Leffe S.A."
"Permskaya Pivovarinnaya Kompaniya ","Pivzavod AO Rosar","Labatt Brewing Company Ltd.","Klinskiy Pivokombinat"
"Pivovar Ostravar (Staropramen Breweries / Inbev)","Oriental Brewery Co., Ltd","Latrobe Brewing Co.","Labatt Brewing Company Ltd."
"Kamenitza AD","Permskaya Pivovarinnaya Kompaniya ","Alexander Keith's","Latrobe Brewing Co."
"OPZ Saransk","Pivovar Ostravar (Staropramen Breweries / Inbev)","Pivzavod AO Rosar","Alexander Keith's"
"Rogan Brewery","Kamenitza AD","Oriental Brewery Co., Ltd","Pivzavod AO Rosar"
"Boddingtons","OPZ Saransk","Permskaya Pivovarinnaya Kompaniya ","Oriental Brewery Co., Ltd"
"Pivovary Staropramen","Rogan Brewery","Pivovar Ostravar (Staropramen Breweries / Inbev)","Permskaya Pivovarinnaya Kompaniya "
"Trebjesa Brewery","Boddingtons","Kamenitza AD","Pivovar Ostravar (Staropramen Breweries / Inbev)"
"United Dutch Breweries B.V.","Pivovary Staropramen","OPZ Saransk","Kamenitza AD"
"Povolzhye OAO","Trebjesa Brewery","Rogan Brewery","OPZ Saransk"
"Tennent Caledonian Breweries","United Dutch Breweries B.V.","Boddingtons","Rogan Brewery"
"Yantar Brewery","Povolzhye OAO","Pivovary Staropramen","Boddingtons"
"Zagrebaèka Pivovara D.d.","Tennent Caledonian Breweries","Trebjesa Brewery","Pivovary Staropramen"
"AstikA (Interbrew)","Yantar Brewery","United Dutch Breweries B.V.","Trebjesa Brewery"
"Stella Artois","Zagrebaèka Pivovara D.d.","Povolzhye OAO","United Dutch Breweries B.V."
"Rogan Brewery","AstikA (Interbrew)","Tennent Caledonian Breweries","Povolzhye OAO"
,"Stella Artois","Yantar Brewery","Tennent Caledonian Breweries"
,"Rogan Brewery","Zagrebaèka Pivovara D.d.","Yantar Brewery"
,"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","AstikA (Interbrew)","Zagrebaèka Pivovara D.d."
,,"Stella Artois","AstikA (Interbrew)"
,,"Rogan Brewery","Stella Artois"
,,"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Rogan Brewery"
,,,"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co."
