year,AB,ABInBev,Ambev,Asahi,Carslberg,Coors,Diageo,GroupoModelo,Heineken,InBev,Interbrew,Molson,MolsonCoors,SABMiller
2000,1,0,3,3,56,4,11,1,54,0,38,1,0,10
2001,1,0,3,3,56,4,11,1,54,0,41,1,0,11
2002,1,0,5,3,56,5,11,1,56,0,44,1,0,11
2003,1,0,5,3,57,5,11,1,60,0,45,1,0,13
2004,2,0,0,3,57,5,11,1,63,54,0,1,0,13
2005,2,0,0,3,58,0,11,1,68,55,0,0,6,18
2006,2,0,0,3,58,0,11,1,68,55,0,0,6,18
2007,2,0,0,3,59,0,11,1,69,56,0,0,6,18
2008,0,56,0,3,59,0,11,1,82,0,0,0,6,18
2009,0,54,0,3,58,0,11,1,82,0,0,0,7,21
2010,0,43,0,3,58,0,11,1,84,0,0,0,7,21
2011,0,43,0,3,60,0,11,1,82,0,0,0,9,22
2012,0,44,0,3,60,0,11,1,87,0,0,0,17,22
2013,0,45,0,3,60,0,11,0,87,0,0,0,18,22
2014,0,48,0,3,60,0,12,0,87,0,0,0,18,22
2015,0,53,0,4,62,0,10,0,89,0,0,0,22,22
2016,0,67,0,11,62,0,9,0,88,0,0,0,23,0
2017,0,67,0,16,61,0,9,0,88,0,0,0,23,0
